rep_seq	S1	S2	S3
S1_CAIHDJAA_00297	104.444	NA	NA
S1_CAIHDJAA_00298	93.6768	NA	NA
S1_CAIHDJAA_00299	89.4677	NA	NA
S1_CAIHDJAA_00300	102.662	NA	NA
S1_CAIHDJAA_00301	101.8268	NA	NA
S1_CAIHDJAA_00302	103.5278	NA	NA
S1_CAIHDJAA_00303	92.9545	NA	NA
S1_CAIHDJAA_00304	100.0566	NA	NA
S1_CAIHDJAA_00305	103.0964	NA	NA
S1_CAIHDJAA_00306	93.493	NA	NA
S1_CAIHDJAA_00307	98.9377	NA	NA
S1_CAIHDJAA_00308	93.1219	NA	NA
S1_CAIHDJAA_00309	99.6407	NA	NA
S1_CAIHDJAA_00310	102.8341	NA	NA
S1_CAIHDJAA_00311	106.5906	NA	NA
S1_CAIHDJAA_00312	99.8678	NA	NA
S1_CAIHDJAA_00313	99.8533	NA	NA
S1_CAIHDJAA_00314	97.3506	NA	NA
S1_CAIHDJAA_00315	100.3535	NA	NA
S1_CAIHDJAA_00316	84.9692	NA	NA
S1_CAIHDJAA_00317	100.8814	NA	NA
S1_CAIHDJAA_00318	103.2931	NA	NA
S1_CAIHDJAA_00319	91.9769	NA	NA
S1_CAIHDJAA_00320	99.3759	NA	NA
S1_CAIHDJAA_00321	92.945	NA	NA
S1_CAIHDJAA_00322	85.8376	NA	NA
S1_CAIHDJAA_00323	96.5291	NA	NA
S1_CAIHDJAA_00324	102.8144	NA	NA
S1_CAIHDJAA_00325	103.7042	NA	NA
S1_CAIHDJAA_00326	98.9239	NA	NA
S1_CAIHDJAA_00327	105.3211	NA	NA
S1_CAIHDJAA_00328	85.4008	NA	NA
S1_CAIHDJAA_00329	101.593	NA	NA
S1_CAIHDJAA_00330	100.1247	NA	NA
S1_CAIHDJAA_00331	105.406	NA	NA
S1_CAIHDJAA_00332	86.5055	NA	NA
S1_CAIHDJAA_00333	80.0377	NA	NA
S1_CAIHDJAA_00334	95.5862	NA	NA
S1_CAIHDJAA_00335	89.6484	NA	NA
S1_CAIHDJAA_00336	93.4125	NA	NA
S1_CAIHDJAA_00337	84.5295	NA	NA
S1_CAIHDJAA_00338	88.5498	NA	NA
S1_CAIHDJAA_00339	108.0843	NA	NA
S1_CAIHDJAA_00340	94.6267	NA	NA
S1_CAIHDJAA_00341	94.3314	NA	NA
S1_CAIHDJAA_00342	90.4082	NA	NA
S1_CAIHDJAA_00343	180.4061	NA	NA
S1_CAIHDJAA_00344	95.3645	NA	NA
S1_CAIHDJAA_00345	101.6498	NA	NA
S1_CAIHDJAA_00346	83.9923	NA	NA
S1_CAIHDJAA_00347	90.1887	NA	NA
S1_CAIHDJAA_00348	94.2756	NA	NA
S1_CAIHDJAA_00349	83.1637	NA	NA
S1_CAIHDJAA_00350	99.375	NA	NA
S1_CAIHDJAA_00351	91.9944	NA	NA
S1_CAIHDJAA_00352	98.7481	NA	NA
S1_CAIHDJAA_00353	79.5523	NA	NA
S1_CAIHDJAA_00354	83.986	NA	NA
S1_CAIHDJAA_00355	68.0733	NA	NA
S1_CAIHDJAA_00356	65.652	NA	NA
S1_CAIHDJAA_00357	82.2345	NA	NA
S1_CAIHDJAA_00358	89.1645	NA	NA
S1_CAIHDJAA_00359	85.025	NA	NA
S1_CAIHDJAA_00360	90.9509	NA	NA
S1_CAIHDJAA_00361	197.235	NA	NA
S1_CAIHDJAA_00362	91.4728	NA	NA
S1_CAIHDJAA_00363	104.2822	NA	NA
S1_CAIHDJAA_00364	92.9341	NA	NA
S1_CAIHDJAA_00365	87.3414	NA	NA
S1_CAIHDJAA_00366	98.1792	NA	NA
S1_CAIHDJAA_00367	87.7044	NA	NA
S1_CAIHDJAA_00368	86.8586	NA	NA
S1_CAIHDJAA_00369	94.8476	NA	NA
S1_CAIHDJAA_00370	95.0945	NA	NA
S1_CAIHDJAA_00371	101.8064	NA	NA
S1_CAIHDJAA_00372	87.6911	NA	NA
S1_CAIHDJAA_00373	88.5194	NA	NA
S1_CAIHDJAA_00374	91.2931	NA	NA
S1_CAIHDJAA_00375	88.8241	NA	NA
S1_CAIHDJAA_00376	93.9491	NA	NA
S1_CAIHDJAA_00377	94.6616	NA	NA
S1_CAIHDJAA_00378	86.8772	NA	NA
S1_CAIHDJAA_00379	93.8688	NA	NA
S1_CAIHDJAA_00380	83.744	NA	NA
S1_CAIHDJAA_00381	105.8753	NA	NA
S1_CAIHDJAA_00382	86.7155	NA	NA
S1_CAIHDJAA_00383	101	NA	NA
S1_CAIHDJAA_00384	98.2051	NA	NA
S1_CAIHDJAA_00385	96.2929	NA	NA
S1_CAIHDJAA_00386	79.7441	NA	NA
S1_CAIHDJAA_00387	84.3392	NA	NA
S1_CAIHDJAA_00388	100.1093	NA	NA
S1_CAIHDJAA_00389	97.9744	NA	NA
S1_CAIHDJAA_00390	88.3299	NA	NA
S1_CAIHDJAA_00391	94.311	NA	NA
S1_CAIHDJAA_00392	87.6575	NA	NA
S1_CAIHDJAA_00393	84.4233	NA	NA
S1_CAIHDJAA_00394	85.7337	NA	NA
S1_CAIHDJAA_00395	93.334	NA	NA
S1_CAIHDJAA_00396	95.5501	NA	NA
S1_CAIHDJAA_00397	94.0685	NA	NA
S1_CAIHDJAA_00398	95.1261	NA	NA
S1_CAIHDJAA_00399	104.0053	NA	NA
S1_CAIHDJAA_00400	92.1337	NA	NA
S1_CAIHDJAA_00401	75.6966	NA	NA
S1_CAIHDJAA_00402	104.1231	NA	NA
S1_CAIHDJAA_00403	109.9339	NA	NA
S1_CAIHDJAA_00404	104.8791	NA	NA
S1_CAIHDJAA_00405	97.5084	NA	NA
S1_CAIHDJAA_00406	96.9464	NA	NA
S1_CAIHDJAA_00407	112.7853	NA	NA
S1_CAIHDJAA_00408	100.7845	NA	NA
S1_CAIHDJAA_00409	101.2479	NA	NA
S1_CAIHDJAA_00410	95.8847	NA	NA
